ndc_code,drug_name,generic_name,strength,dosage_form,route,manufacturer,drug_class,therapeutic_category,is_generic,is_brand,is_specialty,is_controlled,dea_schedule,awp_price,wac_price,mac_price,package_size,package_unit,fda_approval_date,is_active
89804-1474-52,Parsartan,parsartan,75mg,CAPSULE,ORAL,DR_REDDY,BRONCHODILATOR,RESPIRATORY,true,false,false,false,,28.45,24.18,19.91,30,EA,1999-02-01,true
03138-1475-95,Rispril,rispril,250mg,TABLET,ORAL,SUN_PHARMA,OPIOID,CNS,true,false,false,false,,22.80,19.38,15.96,30,EA,1994-07-21,true
98685-1476-61,Hydcillin,hydcillin,50mg,TABLET,TOPICAL,SANDOZ,TOPICAL_ANALGESIC,PAIN_MANAGEMENT,true,false,false,false,,13.79,11.72,9.65,500,EA,2019-04-20,true
16592-1477-16,Hydzepam,hydzepam,10mg,CAPSULE,ORAL,ACTAVIS,TOPICAL_STEROID,DERMATOLOGY,true,false,false,false,,3.75,3.19,2.62,30,EA,2017-03-27,true
91750-1478-37,Procillin,procillin,250mg/ml,INJECTION,INHALATION,LUPIN,OPIOID,CNS,true,false,false,false,,30.27,25.73,21.19,1,ML,2004-02-09,true
79149-1479-20,Cardisr,valstatin,200mg,CAPSULE,ORAL,PFIZER,PENICILLIN,ANTIBIOTICS,false,true,false,false,,237.97,195.14,,30,EA,2022-05-14,true
67804-1480-85,Omcillin,omcillin,5mg/5ml,SOLUTION,INJECTION,ZYDUS,FLUOROQUINOLONE,ANTIBIOTICS,true,false,false,false,,12.79,10.87,8.95,480,ML,1983-07-14,true
74679-1481-37,Actiguard,venazole,250mg/5ml,SUSPENSION,ORAL,NOVARTIS,ANXIOLYTIC,CNS,false,true,true,false,,2193.48,1754.78,,200,ML,2013-02-22,true
03854-1482-01,Cefcillin,cefcillin,125mg/5ml,SUSPENSION,ORAL,LUPIN,CORTICOSTEROID,IMMUNOLOGY,true,false,false,false,,23.76,20.20,16.63,150,ML,1999-04-12,true
43592-1483-08,Lipocare,predpril,250mg,TABLET,ORAL,PFIZER,NSAID,PAIN_MANAGEMENT,false,true,false,false,,228.29,187.20,,500,EA,2012-07-01,true
74616-1484-13,Vitaforte,flutidine,200mg,CAPSULE,ORAL,GLAXOSMITHKLINE,ANTIFUNGAL,DERMATOLOGY,false,true,false,false,,165.76,135.92,,30,EA,2016-06-11,true
64975-1485-51,Risvir,risvir,5mg/5ml,SOLUTION,ORAL,ZYDUS,CEPHALOSPORIN,ANTIBIOTICS,true,false,false,false,,10.67,9.07,7.47,120,ML,1996-08-02,true
50420-1486-11,Prozepam,prozepam,5mg/5ml,SOLUTION,ORAL,MYLAN,ANXIOLYTIC,CNS,true,false,false,false,,4.53,3.85,3.17,120,ML,1991-05-10,true
13360-1487-10,Gabvir,gabvir,5%,OINTMENT,ORAL,SUN_PHARMA,ANTACID,GASTROINTESTINAL,true,false,false,false,,47.54,40.41,33.28,60,ML,1993-01-09,true
84858-1488-86,Serzolam,serzolam,100mg/5ml,SOLUTION,TOPICAL,LUPIN,NSAID,PAIN_MANAGEMENT,true,false,false,false,,38.87,33.04,27.21,240,ML,2012-06-19,true
00578-1489-68,Ketfloxacin,ketfloxacin,40mg,CAPSULE,ORAL,DR_REDDY,CALCIUM_CHANNEL_BLOCKER,CARDIOVASCULAR,true,false,false,false,,18.40,15.64,12.88,90,EA,1980-04-19,true
37708-1490-42,Hydcycline,hydcycline,50mg,CAPSULE,ORAL,AUROBINDO,IMMUNOTHERAPY,ONCOLOGY,true,false,false,false,,7.94,6.75,5.56,60,EA,1995-01-25,true
31979-1491-20,Gabstatin,gabstatin,100mg,CAPSULE,ORAL,MYLAN,ACE_INHIBITOR,CARDIOVASCULAR,true,false,false,false,,40.10,34.09,28.07,500,EA,2013-12-27,true
17705-1492-42,Lipohct,serpril,50mg,CAPSULE,ORAL,ABBVIE,ANTACID,GASTROINTESTINAL,false,true,false,false,,147.93,121.30,,100,EA,2006-03-11,true
40852-1493-72,Zolzolam,zolzolam,100mg,TABLET,TOPICAL,ZYDUS,OPIOID,CNS,true,false,false,false,,5.35,4.55,3.74,30,EA,2013-12-24,true
25267-1494-52,Dipril,dipril,5mg/5ml,SOLUTION,INJECTION,SANDOZ,INSULIN,DIABETES,true,false,false,false,,18.86,16.03,13.20,120,ML,2024-01-22,true
71643-1495-10,Proprazole,proprazole,500mg,TABLET,ORAL,ACTAVIS,MUSCLE_RELAXANT,PAIN_MANAGEMENT,true,false,false,false,,9.03,7.68,6.32,90,EA,1996-06-28,true
30570-1496-15,Valzolam,valzolam,25mg/5ml,SOLUTION,ORAL,ZYDUS,MACROLIDE,ANTIBIOTICS,true,false,false,false,,3.34,2.84,2.34,100,ML,1989-03-03,true
71198-1497-61,Fluvir,fluvir,100mg/5ml,SOLUTION,ORAL,CIPLA,CALCIUM_CHANNEL_BLOCKER,CARDIOVASCULAR,true,false,false,false,,0.71,0.60,0.50,120,ML,1980-06-23,true
20028-1498-58,Zolcillin,zolcillin,1%,CREAM,INJECTION,TEVA,OPIOID,CNS,true,false,false,false,,18.58,15.79,13.01,30,ML,1980-06-19,true
31763-1499-22,Benprazole,benprazole,25mg,CAPSULE,ORAL,SUN_PHARMA,MACROLIDE,ANTIBIOTICS,true,false,false,false,,17.48,14.86,12.24,60,EA,2019-10-20,true
50087-1500-27,Amsartan,amsartan,75mcg/hr,PATCH,ORAL,ACTAVIS,BRONCHODILATOR,RESPIRATORY,true,false,false,false,,16.92,14.38,11.84,5,ML,2019-04-14,true
06227-1501-37,Hydfloxacin,hydfloxacin,50mg/ml,INJECTION,ORAL,MYLAN,NSAID,PAIN_MANAGEMENT,true,false,false,false,,25.72,21.86,18.00,1,ML,2006-08-25,true
76595-1502-15,Cefzolam,cefzolam,500mg,TABLET,OPHTHALMIC,AUROBINDO,CEPHALOSPORIN,ANTIBIOTICS,true,false,false,false,,42.94,36.50,30.06,30,EA,2012-03-25,true
58838-1503-19,Ventriptan,ventriptan,10mg,CAPSULE,INJECTION,LUPIN,TETRACYCLINE,ANTIBIOTICS,true,false,false,false,,30.95,26.31,21.66,60,EA,1988-01-01,true
68425-1504-28,Proolol,proolol,100mg,TABLET,ORAL,SUN_PHARMA,BRONCHODILATOR,RESPIRATORY,true,false,false,false,,27.33,23.23,19.13,30,EA,1988-12-01,true
06571-1505-96,Simsartan,simsartan,150mg,CAPSULE,ORAL,DR_REDDY,OVERACTIVE_BLADDER,UROLOGY,true,false,false,false,,4.01,3.41,2.81,90,EA,1994-02-02,true
17755-1506-06,Warvir,warvir,20mg,TABLET,TOPICAL,DR_REDDY,INSULIN,DIABETES,true,false,false,false,,34.67,29.47,24.27,500,EA,2019-04-14,true
64702-1507-15,Levpril,levpril,25mg,CAPSULE,ORAL,SANDOZ,TETRACYCLINE,ANTIBIOTICS,true,false,false,false,,26.01,22.11,18.21,60,EA,1990-06-15,true
09541-1508-50,Partriptan,partriptan,75mcg/hr,PATCH,ORAL,TEVA,BIOLOGIC,IMMUNOLOGY,true,false,false,false,,20.66,17.56,14.46,5,ML,2020-04-12,true
56888-1509-77,Varprazole,varprazole,25mg,TABLET,ORAL,MYLAN,OSTEOPOROSIS,ENDOCRINE,true,false,false,false,,47.23,40.15,33.06,100,EA,2012-05-18,true
69265-1510-71,Mediplus,hydtidine,100mcg/hr,PATCH,TOPICAL,BAYER,BETA_BLOCKER,CARDIOVASCULAR,false,true,false,false,,60.03,49.22,,10,ML,2015-12-01,true
49266-1511-61,Cefpril,cefpril,20mg,TABLET,ORAL,SANDOZ,ANTIHISTAMINE,RESPIRATORY,true,false,false,false,,33.78,28.71,23.65,500,EA,2015-11-12,true
26790-1512-11,Benzolam,benzolam,100mcg/hr,PATCH,ORAL,ZYDUS,STATIN,CARDIOVASCULAR,true,false,false,false,,18.88,16.05,13.22,30,ML,2013-07-13,true
71977-1513-64,Venzolam,venzolam,5mg,TABLET,ORAL,SANDOZ,OPIOID,PAIN_MANAGEMENT,true,false,false,true,II,40.27,34.23,28.19,500,EA,2006-01-27,true
71908-1514-03,Ibupril,ibupril,250mg/ml,INJECTION,INJECTION,ZYDUS,TETRACYCLINE,ANTIBIOTICS,true,false,false,false,,3.89,3.31,2.72,10,ML,2003-06-13,true
53440-1515-94,Proolol,proolol,100mg/5ml,SOLUTION,TOPICAL,AUROBINDO,OPIOID,CNS,true,false,false,false,,40.19,34.16,28.13,240,ML,2004-09-12,true
41075-1516-44,Ketolol,ketolol,50mg/ml,INJECTION,ORAL,MYLAN,OPIOID,CNS,true,false,false,false,,20.94,17.80,14.66,25,ML,2018-11-10,true
62088-1517-19,Levdipine,levdipine,40mg,CAPSULE,OPHTHALMIC,SUN_PHARMA,ANXIOLYTIC,CNS,true,false,false,false,,4.19,3.56,2.93,100,EA,1985-06-01,true
94410-1518-62,Flexla,levdipine,50mg,TABLET,ORAL,BOEHRINGER_INGELHEIM,THYROID,ENDOCRINE,false,true,false,false,,16.95,13.90,,90,EA,2006-10-03,true
21298-1519-37,Renaer,tamvir,100mcg/hr,PATCH,INJECTION,PFIZER,STATIN,CARDIOVASCULAR,false,true,false,false,,328.03,268.98,,30,ML,1996-08-06,true
89225-1520-23,Amtidine,amtidine,40mg,CAPSULE,INHALATION,AUROBINDO,STIMULANT,CNS,true,false,false,false,,35.89,30.51,25.12,60,EA,2016-07-21,true
41760-1521-74,Dizolam,dizolam,25mg,TABLET,ORAL,LUPIN,BETA_BLOCKER,CARDIOVASCULAR,true,false,false,false,,18.02,15.32,12.61,30,EA,2001-07-03,true
33656-1522-34,Omzepam,omzepam,20mg,TABLET,ORAL,ZYDUS,PPI,GASTROINTESTINAL,true,false,false,false,,19.36,16.46,13.55,500,EA,2018-02-10,true
71493-1523-38,Parprazole,parprazole,50mg/5ml,SOLUTION,ORAL,AUROBINDO,CORTICOSTEROID,RESPIRATORY,true,false,false,false,,10.51,8.93,7.36,480,ML,1986-05-07,true
32783-1524-04,Amcillin,amcillin,25mg,TABLET,ORAL,DR_REDDY,HORMONE_THERAPY,ONCOLOGY,true,false,false,false,,33.06,28.10,23.14,30,EA,1983-10-01,true
63533-1525-62,Zolvir,zolvir,1%,OINTMENT,ORAL,SANDOZ,CORTICOSTEROID,IMMUNOLOGY,true,false,false,false,,11.83,10.06,8.28,30,ML,1980-05-27,true
93190-1526-79,Clozepam,clozepam,10mg,TABLET,TOPICAL,AUROBINDO,OSTEOPOROSIS,ENDOCRINE,true,false,false,false,,34.14,29.02,23.90,100,EA,2002-06-09,true
47153-1527-83,Dermcr,benstatin,25mg/5ml,SOLUTION,INHALATION,ELI_LILLY,MACROLIDE,ANTIBIOTICS,false,true,true,false,,6319.95,5055.96,,480,ML,2011-12-11,true
11765-1528-22,Wardipine,wardipine,250mg/ml,INJECTION,ORAL,TEVA,ANXIOLYTIC,CNS,true,false,false,false,,27.67,23.52,19.37,1,ML,2024-01-15,true
23966-1529-09,Glucola,parprazole,5mg/5ml,SOLUTION,ORAL,AMGEN,ACE_INHIBITOR,CARDIOVASCULAR,false,true,false,false,,109.93,90.14,,480,ML,2004-01-12,true
57885-1530-94,Glucotri,hydzepam,20mg,CAPSULE,INHALATION,PFIZER,INSULIN,DIABETES,false,true,false,false,,393.71,322.84,,60,EA,2014-03-16,true
80339-1531-65,Seroquad,gabolol,500mg,TABLET,OPHTHALMIC,BOEHRINGER_INGELHEIM,MACROLIDE,ANTIBIOTICS,false,true,false,false,,359.53,294.81,,100,EA,1990-02-23,true
03072-1532-44,Cipprazole,cipprazole,500mg/5ml,SUSPENSION,ORAL,LUPIN,NSAID,PAIN_MANAGEMENT,true,false,false,false,,42.20,35.87,29.54,200,ML,2012-01-19,true
00155-1533-05,Vitaer,metvir,50mg,CAPSULE,ORAL,GILEAD,MUSCLE_RELAXANT,PAIN_MANAGEMENT,false,true,false,false,,91.82,75.29,,60,EA,1990-09-01,true
35176-1534-65,Zolcycline,zolcycline,10mg,TABLET,INJECTION,ZYDUS,ANTIEMETIC,GASTROINTESTINAL,true,false,false,false,,27.36,23.26,19.15,30,EA,2024-10-18,true
12856-1535-61,Enprazole,enprazole,50mg,TABLET,ORAL,ACTAVIS,ACNE_TREATMENT,DERMATOLOGY,true,false,false,false,,26.91,22.87,18.84,30,EA,1981-11-09,true
28299-1536-59,Cippril,cippril,40mg,TABLET,INHALATION,AUROBINDO,HORMONE_REPLACEMENT,ENDOCRINE,true,false,false,false,,26.73,22.72,18.71,30,EA,1982-05-21,true
62203-1537-47,Omsartan,omsartan,100mcg,INHALER,TOPICAL,TEVA,OSTEOPOROSIS,ENDOCRINE,true,false,false,false,,49.58,42.14,34.71,2,ML,2016-07-25,true
51760-1538-49,Gabsartan,gabsartan,100mg,TABLET,ORAL,SANDOZ,ANTIVIRAL,OTHER,true,false,false,false,,23.75,20.19,16.62,100,EA,2013-09-06,false
87233-1539-15,Clocycline,clocycline,250mg,TABLET,INHALATION,TEVA,TARGETED_THERAPY,ONCOLOGY,true,false,false,false,,1.25,1.06,0.88,500,EA,2010-08-18,true
46582-1540-51,Napfloxacin,napfloxacin,100mg,TABLET,RECTAL,MYLAN,NSAID,PAIN_MANAGEMENT,true,false,false,false,,44.66,37.96,31.26,60,EA,1996-12-21,true
02390-1541-84,Vencillin,vencillin,50mg/ml,INJECTION,INJECTION,LUPIN,ANTICONVULSANT,CNS,true,false,false,false,,15.51,13.18,10.86,5,ML,2010-11-16,true
14707-1542-02,Ketzolam,ketzolam,10mg,TABLET,ORAL,SUN_PHARMA,CEPHALOSPORIN,ANTIBIOTICS,true,false,false,false,,10.71,9.10,7.50,30,EA,1989-06-12,true
63774-1543-27,Zololol,zololol,25mg/ml,INJECTION,ORAL,CIPLA,PPI,GASTROINTESTINAL,true,false,false,false,,5.40,4.59,3.78,25,ML,1990-09-19,true
13785-1544-68,Oncood,warzolam,500mg,TABLET,TOPICAL,GLAXOSMITHKLINE,ANTIPSYCHOTIC,CNS,false,true,false,false,,114.35,93.77,,100,EA,2024-01-23,true
28019-1545-74,Warstatin,warstatin,150mg,CAPSULE,OTIC,CIPLA,HORMONE_THERAPY,ONCOLOGY,true,false,false,false,,43.34,36.84,30.34,500,EA,2021-08-27,true
86376-1546-96,Omdipine,omdipine,50mg/5ml,SOLUTION,ORAL,ZYDUS,ANTIEMETIC,GASTROINTESTINAL,true,false,false,false,,31.34,26.64,21.94,100,ML,1985-04-17,true
64042-1547-41,Dermtri,benzepam,50mg,TABLET,ORAL,ROCHE,ANTIPSYCHOTIC,CNS,false,true,false,false,,308.47,252.95,,100,EA,1990-12-07,true
87673-1548-52,Vitatri,ketprazole,500mg,TABLET,ORAL,GILEAD,BETA_BLOCKER,CARDIOVASCULAR,false,true,false,false,,289.21,237.15,,30,EA,1995-08-17,true
41088-1549-09,Gabprazole,gabprazole,500mg,TABLET,INJECTION,MYLAN,DECONGESTANT,RESPIRATORY,true,false,false,false,,27.09,23.03,18.96,500,EA,1997-01-18,true
84585-1550-82,Clodipine,clodipine,100mg/5ml,SOLUTION,TOPICAL,SUN_PHARMA,ANTIBIOTIC_EYE,OPHTHALMOLOGY,true,false,false,false,,47.82,40.65,33.47,100,ML,2021-08-06,true
87979-1551-50,Predzolam,predzolam,5%,CREAM,ORAL,ACTAVIS,MACROLIDE,ANTIBIOTICS,true,false,false,false,,33.42,28.41,23.39,45,ML,2019-01-26,true
78966-1552-55,Simpril,simpril,0.5%,OINTMENT,TOPICAL,TEVA,ANTICONVULSANT,CNS,true,false,false,false,,1.31,1.11,0.92,45,ML,1994-10-06,true
00572-1553-97,Clostatin,clostatin,50mg,TABLET,OTIC,LUPIN,TOPICAL_STEROID,DERMATOLOGY,true,false,false,false,,16.44,13.97,11.51,30,EA,2005-08-08,true
39466-1554-27,Enolol,enolol,75mg,CAPSULE,ORAL,MYLAN,IMMUNOSUPPRESSANT,IMMUNOLOGY,true,false,false,false,,49.41,42.00,34.59,100,EA,1980-06-26,true
29755-1555-48,Risdipine,risdipine,2%,CREAM,INJECTION,ACTAVIS,PPI,GASTROINTESTINAL,true,false,false,false,,5.61,4.77,3.93,45,ML,1994-09-27,true
86944-1556-92,Amazole,amazole,250mg/ml,INJECTION,TOPICAL,CIPLA,ANTIEMETIC,GASTROINTESTINAL,true,false,false,false,,7.21,6.13,5.05,10,ML,1981-11-16,true
94348-1557-95,Warvir,warvir,5mg/5ml,SOLUTION,ORAL,AUROBINDO,H2_BLOCKER,GASTROINTESTINAL,true,false,false,false,,0.75,0.64,0.52,120,ML,2013-03-17,true
45689-1558-31,Amvir,amvir,200mg,CAPSULE,ORAL,MYLAN,OPIOID,PAIN_MANAGEMENT,true,false,false,false,,4.14,3.52,2.90,90,EA,2005-12-11,true
48671-1559-81,Disartan,disartan,100mg,CAPSULE,ORAL,AUROBINDO,INSULIN,DIABETES,true,false,false,false,,28.26,24.02,19.78,500,EA,1993-12-28,true
01173-1560-74,Valcycline,valcycline,50mg/5ml,SOLUTION,ORAL,MYLAN,TARGETED_THERAPY,ONCOLOGY,true,false,false,false,,11.75,9.99,8.22,100,ML,2012-07-05,true
34456-1561-38,Actiforte,hydazole,250mg,TABLET,ORAL,BOEHRINGER_INGELHEIM,THYROID,ENDOCRINE,false,true,false,false,,372.39,305.36,,60,EA,1997-08-05,true
71617-1562-21,Zoltidine,zoltidine,5%,OINTMENT,ORAL,AUROBINDO,MACROLIDE,ANTIBIOTICS,true,false,false,false,,4.86,4.13,3.40,15,ML,1987-10-14,true
80276-1563-29,Bioplus,ketprazole,100mcg,INHALER,ORAL,GILEAD,CHEMOTHERAPY,ONCOLOGY,false,true,false,false,,462.97,379.64,,3,ML,2001-04-03,true
22217-1564-26,Serohct,amdipine,50mg,TABLET,ORAL,BAYER,OPIOID,PAIN_MANAGEMENT,false,true,false,false,,287.52,235.77,,30,EA,2010-06-21,true
41581-1565-59,Levdipine,levdipine,250mcg,INHALER,ORAL,LUPIN,MACROLIDE,ANTIBIOTICS,true,false,false,false,,10.86,9.23,7.60,2,ML,1983-07-09,true
51590-1566-79,Fluvir,fluvir,250mg/5ml,SUSPENSION,ORAL,MYLAN,METFORMIN,DIABETES,true,false,false,false,,32.22,27.39,22.55,100,ML,2002-02-06,true
57817-1567-42,Hydcycline,hydcycline,100mg,CAPSULE,ORAL,SANDOZ,IMMUNOTHERAPY,ONCOLOGY,true,false,false,false,,45.30,38.50,31.71,90,EA,2007-05-17,true
26159-1568-91,Amcycline,amcycline,100mg/5ml,SOLUTION,ORAL,SUN_PHARMA,SGLT2_INHIBITOR,DIABETES,true,false,false,false,,45.78,38.91,32.05,120,ML,1989-12-12,true
88846-1569-87,Dermforte,prosartan,40mg,TABLET,ORAL,ROCHE,ED_TREATMENT,UROLOGY,false,true,false,false,,244.35,200.37,,90,EA,2017-07-17,true
82014-1570-28,Valolol,valolol,0.1%,OINTMENT,ORAL,SANDOZ,ANTIHISTAMINE,RESPIRATORY,true,false,false,false,,4.45,3.78,3.11,15,ML,2022-06-19,true
10846-1571-54,Predazole,predazole,20mg,CAPSULE,OTIC,CIPLA,PPI,GASTROINTESTINAL,true,false,false,false,,11.94,10.15,8.36,90,EA,1988-08-15,true
48558-1572-81,Zolcillin,zolcillin,500mg,TABLET,ORAL,DR_REDDY,GLAUCOMA,OPHTHALMOLOGY,true,false,false,false,,10.01,8.51,7.01,60,EA,2012-08-09,true
87926-1573-08,Clofloxacin,clofloxacin,40mg,TABLET,ORAL,ACTAVIS,ANTIPSYCHOTIC,CNS,true,false,false,false,,48.68,41.38,34.08,90,EA,2011-11-19,true
68827-1574-26,Cefstatin,cefstatin,20mg,TABLET,ORAL,CIPLA,BETA_BLOCKER,CARDIOVASCULAR,true,false,false,false,,29.51,25.08,20.66,60,EA,2023-08-04,true
98722-1575-52,Gabstatin,gabstatin,250mg/ml,INJECTION,ORAL,TEVA,ANTICOAGULANT,CARDIOVASCULAR,true,false,false,false,,44.77,38.05,31.34,1,ML,2023-12-24,true
76888-1576-20,Bentriptan,bentriptan,500mg,TABLET,TOPICAL,LUPIN,BIOLOGIC,IMMUNOLOGY,true,false,false,false,,13.37,11.36,9.36,90,EA,2019-04-19,true
08149-1577-52,Metcillin,metcillin,100mcg/hr,PATCH,ORAL,DR_REDDY,DECONGESTANT,RESPIRATORY,true,false,false,false,,40.36,34.31,28.25,5,ML,2001-07-07,true
47491-1578-27,Napsartan,napsartan,250mg/5ml,SUSPENSION,ORAL,ZYDUS,IMMUNOTHERAPY,ONCOLOGY,true,false,false,false,,27.99,23.79,19.59,200,ML,2010-09-08,true
64909-1579-21,Vitaod,zoltriptan,100mg,TABLET,ORAL,ELI_LILLY,ANXIOLYTIC,CNS,false,true,false,false,,430.27,352.82,,100,EA,2016-12-03,true
00771-1580-19,Diprazole,diprazole,25mcg/hr,PATCH,ORAL,MYLAN,STATIN,CARDIOVASCULAR,true,false,false,false,,0.27,0.23,0.19,30,ML,2020-11-28,true
56761-1581-16,Zoltidine,zoltidine,10mg/ml,INJECTION,ORAL,SANDOZ,FLUOROQUINOLONE,ANTIBIOTICS,true,false,false,false,,7.43,6.32,5.20,25,ML,2012-09-10,true
52388-1582-29,Clozolam,clozolam,250mg/ml,INJECTION,INHALATION,MYLAN,TARGETED_THERAPY,ONCOLOGY,true,false,false,false,,29.65,25.20,20.75,1,ML,1994-10-11,true
94219-1583-28,Distatin,distatin,20mg,TABLET,ORAL,ZYDUS,MUSCLE_RELAXANT,PAIN_MANAGEMENT,true,false,false,false,,10.76,9.15,7.53,60,EA,1998-11-17,true
25172-1584-34,Predazole,predazole,5mg,TABLET,OTIC,TEVA,ANTIEMETIC,GASTROINTESTINAL,true,false,false,false,,9.75,8.29,6.82,60,EA,1993-06-04,true
40056-1585-21,Glucoshield,zolsartan,2%,CREAM,ORAL,JOHNSON_JOHNSON,CHEMOTHERAPY,ONCOLOGY,false,true,false,false,,493.71,404.84,,30,ML,1994-12-13,false
39227-1586-80,Acticare,risvir,25mg,CAPSULE,ORAL,SANOFI,SUPPLEMENT,OTHER,false,true,false,false,,451.09,369.89,,60,EA,1996-11-01,true
61201-1587-04,Renaforte,zolpril,40mg,CAPSULE,ORAL,GLAXOSMITHKLINE,ACE_INHIBITOR,CARDIOVASCULAR,false,true,false,false,,62.63,51.36,,500,EA,2000-03-11,true
16614-1588-39,Gabsartan,gabsartan,50mg,TABLET,ORAL,AUROBINDO,CHEMOTHERAPY,ONCOLOGY,true,false,false,false,,49.67,42.22,34.77,500,EA,1988-01-08,true
85177-1589-54,Napprazole,napprazole,25mg/5ml,SOLUTION,INJECTION,LUPIN,BRONCHODILATOR,RESPIRATORY,true,false,false,false,,43.21,36.73,30.25,100,ML,2022-12-25,true
45855-1590-92,Warzepam,warzepam,500mg,TABLET,ORAL,MYLAN,ANTIVIRAL,OTHER,true,false,false,false,,13.11,11.14,9.18,90,EA,1997-03-17,true
55162-1591-55,Hepahct,ibutidine,5mg,TABLET,ORAL,GILEAD,ANTIVIRAL,OTHER,false,true,false,false,,254.71,208.86,,500,EA,2022-11-14,true
79627-1592-34,Seropro,flutriptan,10mg,CAPSULE,ORAL,BRISTOL_MYERS_SQUIBB,ANTIHISTAMINE,RESPIRATORY,false,true,false,false,,407.83,334.42,,60,EA,2018-09-28,true
08158-1593-15,Valzepam,valzepam,25mg,TABLET,ORAL,TEVA,H2_BLOCKER,GASTROINTESTINAL,true,false,false,false,,9.99,8.49,6.99,60,EA,2014-03-12,true
53026-1594-98,Varolol,varolol,100mg/5ml,SOLUTION,ORAL,SANDOZ,ANXIOLYTIC,CNS,true,false,false,true,V,43.22,36.74,30.25,480,ML,1993-07-24,true
31415-1595-94,Proolol,proolol,250mg,TABLET,INJECTION,ACTAVIS,OVERACTIVE_BLADDER,UROLOGY,true,false,false,false,,34.88,29.65,24.42,90,EA,1994-05-10,true
31179-1596-51,Cefcycline,cefcycline,40mg,CAPSULE,ORAL,TEVA,STIMULANT,CNS,true,false,false,false,,20.50,17.43,14.35,500,EA,1984-09-27,true
75966-1597-29,Serzolam,serzolam,1%,OINTMENT,ORAL,DR_REDDY,TOPICAL_ANALGESIC,PAIN_MANAGEMENT,true,false,false,false,,41.38,35.17,28.97,30,ML,2013-04-12,true
27590-1598-47,Omzepam,omzepam,25mg/5ml,SOLUTION,INJECTION,LUPIN,ANTIVIRAL,OTHER,true,false,false,false,,29.09,24.73,20.36,240,ML,1983-08-05,true
91151-1599-52,Mediplus,benstatin,20mg,TABLET,ORAL,MERCK,FLUOROQUINOLONE,ANTIBIOTICS,false,true,false,false,,119.75,98.19,,100,EA,2011-05-23,true
68520-1600-38,Cipazole,cipazole,50mg,TABLET,ORAL,ACTAVIS,MACROLIDE,ANTIBIOTICS,true,false,false,false,,43.47,36.95,30.43,60,EA,2004-05-26,true
52264-1601-71,Neuroquad,gabolol,40mg,CAPSULE,ORAL,BRISTOL_MYERS_SQUIBB,BRONCHODILATOR,RESPIRATORY,false,true,false,false,,212.91,174.59,,100,EA,2003-12-05,true
24164-1602-75,Proazole,proazole,25mcg/hr,PATCH,RECTAL,CIPLA,SGLT2_INHIBITOR,DIABETES,true,false,false,false,,0.46,0.39,0.32,10,ML,1999-04-04,true
92141-1603-94,Hydpril,hydpril,100mg/ml,INJECTION,ORAL,ZYDUS,ANXIOLYTIC,CNS,true,false,false,true,III,30.84,26.21,21.59,5,ML,1990-07-09,true
36195-1604-99,Cefolol,cefolol,25mg/5ml,SOLUTION,ORAL,SANDOZ,STIMULANT,CNS,true,false,false,true,IV,26.60,22.61,18.62,480,ML,2017-02-07,true
26500-1605-02,Gabdipine,gabdipine,250mg,TABLET,ORAL,SANDOZ,STATIN,CARDIOVASCULAR,true,false,false,false,,44.89,38.16,31.42,60,EA,1986-07-14,true
96977-1606-39,Renaplex,varolol,150mg,CAPSULE,INJECTION,JOHNSON_JOHNSON,CALCIUM_CHANNEL_BLOCKER,CARDIOVASCULAR,false,true,false,false,,428.07,351.02,,60,EA,2009-08-16,true
85351-1607-70,Prodipine,prodipine,100mg,CAPSULE,ORAL,ACTAVIS,DECONGESTANT,RESPIRATORY,true,false,false,false,,37.68,32.03,26.38,100,EA,2015-07-03,true
86848-1608-97,Risolol,risolol,10mg/ml,INJECTION,ORAL,SUN_PHARMA,NSAID,PAIN_MANAGEMENT,true,false,false,false,,39.02,33.17,27.31,10,ML,1994-06-12,true
88945-1609-47,Amolol,amolol,10mg,TABLET,ORAL,CIPLA,METFORMIN,DIABETES,true,false,false,false,,30.24,25.70,21.17,500,EA,2004-10-25,true
63494-1610-44,Hydprazole,hydprazole,2%,CREAM,ORAL,LUPIN,CORTICOSTEROID,RESPIRATORY,true,false,false,false,,31.96,27.17,22.37,30,ML,1980-11-05,true
19580-1611-28,Ibupril,ibupril,150mg,CAPSULE,ORAL,MYLAN,BRONCHODILATOR,RESPIRATORY,true,false,false,false,,37.02,31.47,25.91,30,EA,2021-02-26,true
98293-1612-21,Bensartan,bensartan,500mg,TABLET,ORAL,CIPLA,ACE_INHIBITOR,CARDIOVASCULAR,true,false,false,false,,13.13,11.16,9.19,90,EA,2002-07-09,true
63801-1613-42,Diolol,diolol,40mg,CAPSULE,ORAL,AUROBINDO,BETA_BLOCKER,CARDIOVASCULAR,true,false,false,false,,18.97,16.12,13.28,30,EA,1998-12-14,true
70417-1614-14,Enolol,enolol,10mg,TABLET,ORAL,ZYDUS,MUSCLE_RELAXANT,PAIN_MANAGEMENT,true,false,false,false,,24.61,20.92,17.23,100,EA,1988-10-18,true
22542-1615-99,Dermquad,venolol,20mg,TABLET,INJECTION,AMGEN,ANTICOAGULANT,CARDIOVASCULAR,false,true,false,false,,480.76,394.22,,500,EA,2008-12-07,true
